rusticate-download-rust-codebases
Started at: Instant { tv_sec: 61917, tv_nsec: 55522505 }
Settings:
  Input: analyses/top1100_unique_repos.txt
  Output: /home/milnes/projects/RustCodebases
  Jobs: 8
  Shallow: true
  GitHub only: true
  Skip existing: true
  Dry run: false
  Max repos: None
  Start at: 0

Loaded 1087 repositories

Cloning 1087 repositories with 8 parallel jobs...
[T2] ⊘ Skipped 376: dtolnay/serde-repr (already exists)
[T0] ⊘ Skipped 391: djc/rustc-version-rs (already exists)
[T1] ⊘ Skipped 386: rustls/pki-types (already exists)
[T4] ⊘ Skipped 392: 56quarters/cadence (already exists)
[T3] ⊘ Skipped 393: MSxDOS/ntapi (already exists)
[T2] ⊘ Skipped 394: webdesus/fs_extra (already exists)
[T0] ⊘ Skipped 395: Lokathor/tinyvec (already exists)
[T2] ⊘ Skipped 399: Nullus157/async-compression (already exists)
[T1] ⊘ Skipped 396: jonasbb/serde_with (already exists)
[T3] ⊘ Skipped 398: Matthias247/futures-intrusive (already exists)
[T4] ⊘ Skipped 397: mitsuhiko/insta (already exists)
[T0] ⊘ Skipped 400: bytecodealliance/wasi-rs (already exists)
[T4] ⊘ Skipped 404: avitex/rust-aliasable (already exists)
[T4] ⊘ Skipped 406: console-rs/dialoguer (already exists)
[T4] ⊘ Skipped 407: TrueLayer/reqwest-middleware (already exists)
[T3] ⊘ Skipped 403: dermesser/integer-encoding-rs (already exists)
